Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Survival
2,0,-0.6914715490669485,0,0,10.5,0.0,0.0,1.0,1
3,1,-0.10909923064627013,0,0,7.2292,1.0,0.0,0.0,0
2,0,-1.933865828364396,1,2,27.75,0.0,0.0,1.0,1
3,1,-1.467967973627853,5,2,46.9,0.0,0.0,1.0,0
3,1,-0.6138219066108579,0,0,7.2292,1.0,0.0,0.0,0
1,0,0.6285723726865892,0,0,80.0,0.0,0.0,1.0,1
1,1,1.1721198698792223,1,0,83.475,0.0,0.0,1.0,0
3,1,-2.0115154708204863,3,2,27.9,0.0,0.0,1.0,0
1,1,0.007375233037865566,0,0,27.7208,1.0,0.0,0.0,0
3,1,0.007375233037865566,1,1,15.2458,1.0,0.0,0.0,1
2,0,-0.07027440941822488,0,0,10.5,0.0,0.0,1.0,1
3,1,-0.8467708339791293,0,0,8.1583,0.0,0.0,1.0,0
3,0,-1.0020701188913104,4,2,7.925,0.0,0.0,1.0,1
3,1,-0.3032233367864962,2,0,8.6625,0.0,0.0,1.0,0
2,1,0.16267451795004645,0,0,10.5,0.0,0.0,1.0,0
3,0,-1.0797197613474008,5,2,46.9,0.0,0.0,1.0,0
2,1,-0.6914715490669485,0,0,73.5,0.0,0.0,1.0,0
3,1,-0.3032233367864962,1,0,14.4542,1.0,0.0,0.0,0
3,1,0.16267451795004645,0,0,56.4958,0.0,0.0,1.0,1
3,1,-0.3808729792425867,0,0,7.65,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
2,1,-2.257664837406293,0,2,29.0,0.0,0.0,1.0,1
3,0,0.007375233037865566,0,0,12.475,0.0,0.0,1.0,1
3,1,-0.6138219066108579,0,0,9.0,0.0,0.0,1.0,0
3,1,-0.07027440941822488,0,0,9.5,0.0,0.0,1.0,1
3,0,0.007375233037865566,0,0,7.7875,0.0,1.0,0.0,1
1,1,-0.14792405187431534,0,0,47.1,0.0,0.0,1.0,0
2,0,-1.0020701188913104,0,0,10.5,0.0,0.0,1.0,1
3,0,0.2403241604061369,3,0,15.85,0.0,0.0,1.0,1
3,1,-1.0797197613474008,1,3,34.375,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
1,0,-0.5361722641547676,3,2,263.0,0.0,0.0,1.0,1
3,1,-0.4585226216986771,0,0,8.05,0.0,0.0,1.0,0
3,1,-0.07027440941822488,0,0,8.05,0.0,0.0,1.0,0
3,1,-0.7691211915230389,0,0,7.8542,0.0,0.0,1.0,0
1,1,1.2497695123353127,1,0,61.175,0.0,0.0,1.0,0
3,1,-0.3032233367864962,1,2,20.575,0.0,0.0,1.0,0
3,1,2.2592148642644885,0,0,7.25,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
1,1,3.191010573737574,0,0,34.6542,1.0,0.0,0.0,0
1,1,-0.5361722641547676,0,1,63.3583,1.0,0.0,0.0,1
2,0,0.3179738028622274,0,1,23.0,0.0,0.0,1.0,1
2,1,0.3179738028622274,1,0,26.0,0.0,0.0,1.0,0
3,0,-0.14792405187431534,0,0,7.8958,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
1,1,-0.6914715490669485,0,1,77.2875,0.0,0.0,1.0,0
3,1,0.2403241604061369,0,0,8.6542,0.0,0.0,1.0,0
3,1,0.5509227302304988,2,0,7.925,0.0,0.0,1.0,0
3,1,-0.14792405187431534,0,0,7.8958,0.0,0.0,1.0,0
3,0,-0.6914715490669485,0,0,7.65,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.775,0.0,0.0,1.0,1
3,1,0.6285723726865892,0,0,7.8958,0.0,0.0,1.0,0
3,0,0.007375233037865566,1,0,24.15,0.0,1.0,0.0,1
1,1,1.3274191547914032,0,0,52.0,0.0,0.0,1.0,0
3,0,-1.1961942250315365,1,0,14.4542,1.0,0.0,0.0,0
3,1,-0.6138219066108579,0,0,8.05,0.0,0.0,1.0,0
3,0,-0.7691211915230389,1,0,9.825,0.0,0.0,1.0,0
3,0,-1.0020701188913104,0,0,14.4583,1.0,0.0,0.0,0
3,1,-0.6914715490669485,0,0,7.925,0.0,0.0,1.0,0
3,1,3.1521857525095287,0,0,7.75,0.0,1.0,0.0,0
2,1,-0.07027440941822488,1,0,21.0,0.0,0.0,1.0,0
1,1,-0.4585226216986771,0,1,247.5208,1.0,0.0,0.0,0
3,0,-2.1668147557326667,4,2,31.275,0.0,0.0,1.0,0
2,1,-0.6914715490669485,2,0,73.5,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
2,1,0.20149933917809168,1,0,30.0708,1.0,0.0,0.0,0
2,0,0.20149933917809168,0,0,13.0,0.0,0.0,1.0,1
1,1,1.870966651984036,0,1,77.2875,0.0,0.0,1.0,0
3,1,-1.3903183311717624,1,0,11.2417,1.0,0.0,0.0,1
3,1,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,0
3,1,-0.4585226216986771,0,0,7.1417,0.0,0.0,1.0,1
3,0,0.007375233037865566,1,1,22.3583,1.0,0.0,0.0,1
3,1,1.1721198698792223,0,0,6.975,0.0,0.0,1.0,0
3,1,0.2403241604061369,0,0,7.8958,1.0,0.0,0.0,0
3,1,-0.7691211915230389,0,0,7.05,0.0,0.0,1.0,0
3,0,1.3274191547914032,1,0,14.5,0.0,0.0,1.0,0
2,0,-0.07027440941822488,1,0,26.0,0.0,0.0,1.0,1
2,1,-0.3808729792425867,0,0,13.0,0.0,0.0,1.0,0
2,1,-0.5361722641547676,0,0,15.0458,1.0,0.0,0.0,0
1,0,-0.8467708339791293,0,2,26.2833,0.0,0.0,1.0,1
1,1,0.5509227302304988,1,0,53.1,0.0,0.0,1.0,0
3,1,-1.0797197613474008,0,0,9.2167,0.0,0.0,1.0,0
1,1,-0.4585226216986771,0,0,79.2,1.0,0.0,0.0,0
3,0,0.007375233037865566,0,2,15.2458,1.0,0.0,0.0,0
3,0,-0.6138219066108579,0,0,7.75,0.0,0.0,1.0,1
3,0,-0.4585226216986771,1,0,15.85,0.0,0.0,1.0,1
3,1,-0.8467708339791293,0,0,6.75,0.0,1.0,0.0,0
2,1,-0.92442047643522,0,0,11.5,0.0,0.0,1.0,0
2,1,-0.8467708339791293,1,1,36.75,0.0,0.0,1.0,0
3,1,-0.22557369433040575,0,0,7.7958,0.0,0.0,1.0,1
3,0,-1.6232672585400338,2,2,34.375,0.0,0.0,1.0,0
2,1,0.5120979090024534,0,2,26.0,0.0,0.0,1.0,0
2,1,0.9391709425109508,0,0,13.0,0.0,0.0,1.0,0
2,1,1.638017724615765,0,0,12.525,0.0,0.0,1.0,0
1,0,-0.6138219066108579,1,0,66.6,0.0,0.0,1.0,1
3,1,1.987441115668172,0,0,8.05,0.0,0.0,1.0,0
3,1,0.8226964788268153,0,2,14.5,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.3125,0.0,0.0,1.0,0
1,1,1.638017724615765,0,1,61.3792,1.0,0.0,0.0,0
3,0,-1.0797197613474008,0,0,7.7333,0.0,1.0,0.0,1
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,8.6625,0.0,0.0,1.0,0
3,1,0.007375233037865566,8,2,69.55,0.0,0.0,1.0,0
3,1,1.0944702274231322,0,1,16.1,0.0,0.0,1.0,0
2,0,0.7838716575987701,0,0,15.75,0.0,0.0,1.0,1
3,1,-0.3032233367864962,0,0,7.775,0.0,0.0,1.0,0
3,1,-1.0020701188913104,0,0,8.6625,0.0,0.0,1.0,0
3,1,-2.2444643981887573,4,1,39.6875,0.0,0.0,1.0,0
3,1,-1.6232672585400338,0,2,20.525,0.0,0.0,1.0,1
1,0,0.007375233037865566,0,1,55.0,0.0,0.0,1.0,1
3,0,1.1721198698792223,1,4,27.9,0.0,0.0,1.0,0
1,1,0.007375233037865566,0,0,25.925,0.0,0.0,1.0,0
3,1,-0.14792405187431534,0,0,56.4958,0.0,0.0,1.0,0
1,1,2.4145141491766693,0,0,33.5,0.0,0.0,1.0,0
3,1,-2.0115154708204863,4,1,29.125,0.0,1.0,0.0,0
3,0,-2.2444643981887573,1,1,11.1333,0.0,0.0,1.0,1
3,1,-0.6914715490669485,0,0,7.925,0.0,0.0,1.0,0
1,1,2.026265936896217,0,0,30.6958,1.0,0.0,0.0,0
3,1,-0.92442047643522,1,1,7.8542,0.0,0.0,1.0,0
3,1,0.007375233037865566,3,1,25.4667,0.0,0.0,1.0,0
1,0,1.5603680821596746,0,0,28.7125,1.0,0.0,0.0,0
2,1,0.007375233037865566,0,0,13.0,0.0,0.0,1.0,0
3,1,0.4732730877744082,0,0,0.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,8,2,69.55,0.0,0.0,1.0,0
2,1,0.007375233037865566,0,0,15.05,1.0,0.0,0.0,0
3,1,-1.6232672585400338,4,2,31.3875,0.0,0.0,1.0,0
2,1,-2.2444643981887573,2,1,39.0,0.0,0.0,1.0,1
3,0,-2.0115154708204863,0,2,22.025,0.0,0.0,1.0,1
1,1,0.007375233037865566,0,0,50.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,1,0,15.5,0.0,1.0,0.0,1
1,1,1.1721198698792223,0,0,26.55,0.0,0.0,1.0,1
3,1,0.7838716575987701,1,1,15.5,0.0,1.0,0.0,0
3,1,0.4732730877744082,0,0,7.8958,0.0,0.0,1.0,0
2,0,0.16267451795004645,0,0,13.0,0.0,0.0,1.0,1
2,1,-0.8467708339791293,0,0,13.0,0.0,0.0,1.0,0
3,0,-0.8467708339791293,1,0,7.8542,0.0,0.0,1.0,1
2,1,-2.0891651132765765,1,1,26.0,0.0,0.0,1.0,1
1,0,1.0944702274231322,0,0,27.7208,1.0,0.0,0.0,1
1,0,2.1815652218083983,0,0,146.5208,1.0,0.0,0.0,1
3,1,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,0
3,1,0.9391709425109508,0,1,8.4042,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
2,0,-0.4585226216986771,0,0,13.0,0.0,0.0,1.0,0
3,1,-0.14792405187431534,0,0,9.5,0.0,0.0,1.0,0
3,1,0.007375233037865566,8,2,69.55,0.0,0.0,1.0,0
3,1,0.3179738028622274,0,0,6.4958,0.0,0.0,1.0,0
3,1,1.2109446911072674,0,0,7.225,1.0,0.0,0.0,0
3,1,-0.92442047643522,0,0,8.05,0.0,0.0,1.0,1
3,0,-2.1668147557326667,0,1,10.4625,0.0,0.0,1.0,0
3,1,0.16267451795004645,1,0,15.85,0.0,0.0,1.0,0
3,1,-0.3032233367864962,0,0,18.7875,1.0,0.0,0.0,1
3,0,-1.0797197613474008,0,0,7.75,0.0,1.0,0.0,1
1,1,0.7838716575987701,0,0,31.0,1.0,0.0,0.0,1
3,1,-0.4585226216986771,0,0,7.05,0.0,0.0,1.0,0
2,0,0.3956234453183177,0,0,21.0,0.0,0.0,1.0,1
3,1,-0.6138219066108579,0,0,7.25,0.0,0.0,1.0,0
2,1,0.007375233037865566,0,0,13.0,0.0,0.0,1.0,0
3,1,0.007375233037865566,1,0,7.75,0.0,1.0,0.0,0
1,0,0.08502487549395601,1,0,113.275,1.0,0.0,0.0,1
3,0,-0.22557369433040575,0,0,7.925,0.0,0.0,1.0,1
2,1,0.9391709425109508,1,0,27.0,0.0,0.0,1.0,0
1,0,0.16267451795004645,0,0,76.2917,1.0,0.0,0.0,1
2,1,0.007375233037865566,0,0,10.5,0.0,0.0,1.0,0
3,1,-1.0797197613474008,0,0,8.05,0.0,0.0,1.0,1
2,1,-0.22557369433040575,0,0,13.0,0.0,0.0,1.0,0
3,1,1.638017724615765,0,0,8.05,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
1,1,0.6285723726865892,1,0,90.0,0.0,0.0,1.0,1
3,1,-0.6138219066108579,0,0,9.35,0.0,0.0,1.0,0
2,1,-0.8467708339791293,0,0,10.5,0.0,0.0,1.0,1
3,1,-0.7302963702949937,0,0,7.25,0.0,0.0,1.0,0
2,1,-0.92442047643522,0,0,13.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,3,1,25.4667,0.0,0.0,1.0,0
1,0,0.3956234453183177,1,0,83.475,0.0,0.0,1.0,1
3,1,-0.07027440941822488,0,0,7.775,0.0,0.0,1.0,0
2,1,2.2592148642644885,0,0,13.5,0.0,0.0,1.0,0
3,0,-1.933865828364396,4,2,31.3875,0.0,0.0,1.0,1
2,1,-0.4585226216986771,0,0,10.5,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.55,0.0,0.0,1.0,0
2,1,1.0944702274231322,1,0,26.0,0.0,0.0,1.0,0
2,0,-1.7009169009961242,0,2,26.25,0.0,0.0,1.0,1
2,1,-0.8467708339791293,0,0,10.5,0.0,0.0,1.0,0
2,1,0.2403241604061369,0,0,12.275,0.0,0.0,1.0,0
3,0,0.007375233037865566,1,0,14.4542,1.0,0.0,0.0,0
3,0,0.007375233037865566,1,0,15.5,0.0,1.0,0.0,1
2,1,-0.07027440941822488,0,0,10.5,0.0,0.0,1.0,0
3,1,-0.6138219066108579,0,0,7.125,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.225,1.0,0.0,0.0,0
1,1,1.0944702274231322,2,0,90.0,0.0,1.0,0.0,0
3,0,-0.3808729792425867,0,0,7.775,0.0,0.0,1.0,0
2,0,-0.4585226216986771,0,2,14.5,0.0,0.0,1.0,1
1,1,0.5509227302304988,1,1,52.5542,0.0,0.0,1.0,1
2,1,1.870966651984036,1,0,26.0,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.25,0.0,0.0,1.0,0
3,0,-0.07027440941822488,1,1,10.4625,0.0,0.0,1.0,0
1,1,2.49216379163276,0,0,26.55,0.0,0.0,1.0,0
3,1,0.007375233037865566,1,0,16.1,0.0,0.0,1.0,0
3,0,0.8615213000548605,0,2,20.2125,0.0,0.0,1.0,0
3,0,-0.07027440941822488,0,2,15.2458,1.0,0.0,0.0,1
1,0,0.007375233037865566,0,0,79.2,1.0,0.0,0.0,1
1,0,0.007375233037865566,0,0,86.5,0.0,0.0,1.0,1
1,0,0.3956234453183177,0,0,512.3292,1.0,0.0,0.0,1
2,0,1.5603680821596746,0,1,26.0,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,0
3,1,-2.0891651132765765,4,2,31.3875,0.0,0.0,1.0,1
1,1,1.7156673670718554,1,1,79.65,0.0,0.0,1.0,0
1,1,0.7838716575987701,0,0,0.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,0
2,1,0.4732730877744082,0,0,10.5,0.0,0.0,1.0,0
3,1,-1.0797197613474008,4,1,39.6875,0.0,0.0,1.0,0
3,1,-0.3808729792425867,1,0,7.775,0.0,0.0,1.0,1
1,0,2.1815652218083983,0,1,153.4625,0.0,0.0,1.0,1
1,0,0.3956234453183177,0,0,135.6333,0.0,0.0,1.0,1
1,1,0.007375233037865566,0,0,31.0,0.0,0.0,1.0,0
3,1,-0.3808729792425867,0,0,0.0,0.0,0.0,1.0,1
2,0,0.8615213000548605,0,1,19.5,0.0,0.0,1.0,1
1,1,0.5509227302304988,0,1,29.7,1.0,0.0,0.0,0
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
1,0,2.5698134340888505,1,0,77.9583,0.0,0.0,1.0,1
3,0,1.1721198698792223,0,0,7.75,0.0,0.0,1.0,0
2,1,0.007375233037865566,0,0,0.0,0.0,0.0,1.0,0
3,1,-1.7785665434522149,4,1,29.125,0.0,1.0,0.0,0
3,0,0.3956234453183177,1,1,20.25,0.0,0.0,1.0,1
3,1,2.725112719001032,0,0,7.75,0.0,1.0,0.0,0
3,1,-0.14792405187431534,0,0,7.8542,0.0,0.0,1.0,0
3,1,-1.0797197613474008,0,0,9.5,0.0,0.0,1.0,0
3,1,-0.8467708339791293,0,0,8.05,0.0,0.0,1.0,1
1,1,0.007375233037865566,0,0,26.0,0.0,0.0,1.0,0
3,1,0.2403241604061369,0,0,8.6625,1.0,0.0,0.0,0
3,1,0.007375233037865566,0,0,9.5,0.0,0.0,1.0,1
3,1,-0.6138219066108579,0,0,7.8958,0.0,0.0,1.0,0
2,1,0.9391709425109508,0,0,13.0,0.0,0.0,1.0,1
3,0,-0.6138219066108579,0,0,7.75,0.0,1.0,0.0,1
1,0,-0.3032233367864962,0,0,78.85,0.0,0.0,1.0,1
1,0,-0.8467708339791293,1,0,91.0792,1.0,0.0,0.0,1
2,1,0.4732730877744082,0,0,12.875,1.0,0.0,0.0,0
3,0,-0.4585226216986771,0,0,8.85,0.0,0.0,1.0,0
3,1,-0.4585226216986771,0,0,7.8958,0.0,0.0,1.0,0
1,1,0.007375233037865566,0,0,27.7208,1.0,0.0,0.0,0
3,1,-0.4973474429267224,0,0,7.2292,1.0,0.0,0.0,0
1,0,-2.1668147557326667,1,2,151.55,0.0,0.0,1.0,0
1,1,0.007375233037865566,0,0,30.5,0.0,0.0,1.0,1
1,0,1.5603680821596746,0,1,247.5208,1.0,0.0,0.0,1
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
3,1,0.007375233037865566,2,0,23.25,0.0,1.0,0.0,1
3,1,-0.8467708339791293,0,0,0.0,0.0,0.0,1.0,0
2,0,0.007375233037865566,0,0,12.35,0.0,1.0,0.0,1
3,1,0.007375233037865566,0,0,8.05,0.0,0.0,1.0,0
1,1,-2.2506763695852445,1,2,151.55,0.0,0.0,1.0,1
1,0,0.007375233037865566,0,0,110.8833,1.0,0.0,0.0,1
1,0,-1.0020701188913104,1,0,108.9,1.0,0.0,0.0,1
2,1,0.007375233037865566,1,0,24.0,1.0,0.0,0.0,0
1,0,0.007375233037865566,0,0,56.9292,1.0,0.0,0.0,1
1,0,-0.4585226216986771,0,0,83.1583,1.0,0.0,0.0,1
1,0,-0.92442047643522,2,2,262.375,1.0,0.0,0.0,1
2,0,-0.3032233367864962,1,1,26.0,0.0,0.0,1.0,0
3,1,-0.14792405187431534,0,0,7.8958,0.0,0.0,1.0,0
2,1,1.0168205849670413,1,1,26.25,0.0,0.0,1.0,0
3,0,-0.3032233367864962,0,0,7.8542,0.0,0.0,1.0,1
2,0,-0.4585226216986771,1,0,26.0,0.0,0.0,1.0,1
2,1,1.870966651984036,0,0,14.0,0.0,0.0,1.0,0
1,0,0.08502487549395601,0,2,164.8667,0.0,0.0,1.0,1
1,0,0.7838716575987701,1,1,134.5,1.0,0.0,0.0,1
3,1,-0.6138219066108579,0,0,7.25,0.0,0.0,1.0,0
3,1,-0.22557369433040575,0,0,7.8958,0.0,0.0,1.0,0
2,0,0.007375233037865566,0,0,12.35,0.0,1.0,0.0,1
2,0,-0.6138219066108579,1,1,29.0,0.0,0.0,1.0,1
3,1,0.007375233037865566,8,2,69.55,0.0,0.0,1.0,0
1,0,0.4732730877744082,0,0,135.6333,1.0,0.0,0.0,1
3,1,2.4145141491766693,0,0,6.2375,0.0,0.0,1.0,0
2,0,0.4732730877744082,0,0,13.0,0.0,0.0,1.0,1
3,0,0.08502487549395601,1,1,20.525,0.0,0.0,1.0,1
1,0,-1.0797197613474008,0,1,57.9792,1.0,0.0,0.0,1
3,0,0.007375233037865566,2,0,23.25,0.0,1.0,0.0,1
1,1,1.2109446911072674,0,0,28.5,0.0,0.0,1.0,0
1,1,0.6285723726865892,0,1,153.4625,0.0,0.0,1.0,0
3,1,-1.0797197613474008,2,0,18.0,0.0,0.0,1.0,0
1,0,0.007375233037865566,1,0,133.65,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
1,1,-0.07027440941822488,1,0,66.6,0.0,0.0,1.0,0
1,0,0.8615213000548605,0,0,134.5,1.0,0.0,0.0,1
3,1,1.1721198698792223,0,0,8.05,0.0,0.0,1.0,1
1,1,1.1721198698792223,0,0,35.5,0.0,0.0,1.0,0
2,1,-2.1668147557326667,1,1,26.0,0.0,0.0,1.0,1
1,0,-0.4585226216986771,3,2,263.0,0.0,0.0,1.0,1
2,1,-0.14792405187431534,0,0,13.0,0.0,0.0,1.0,0
2,1,-0.3808729792425867,0,0,13.0,0.0,0.0,1.0,0
2,1,0.4732730877744082,0,0,13.0,0.0,0.0,1.0,0
2,0,-0.4585226216986771,0,0,13.0,0.0,0.0,1.0,1
2,0,0.7838716575987701,0,0,13.0,0.0,0.0,1.0,1
3,0,0.007375233037865566,1,0,16.1,0.0,0.0,1.0,1
3,1,-2.0891651132765765,1,1,15.9,0.0,0.0,1.0,1
3,1,0.9391709425109508,0,0,8.6625,0.0,0.0,1.0,0
3,1,-0.5361722641547676,0,0,9.225,0.0,0.0,1.0,0
1,1,0.007375233037865566,0,0,35.0,0.0,0.0,1.0,0
3,1,-1.1573694038034912,1,1,7.2292,1.0,0.0,0.0,0
3,1,-0.3808729792425867,1,0,17.8,0.0,0.0,1.0,0
3,1,0.007375233037865566,0,0,7.225,1.0,0.0,0.0,0
3,1,-0.14792405187431534,0,0,9.5,0.0,0.0,1.0,0
1,0,-0.6138219066108579,0,1,55.0,0.0,0.0,1.0,1
2,0,0.6285723726865892,0,0,13.0,0.0,0.0,1.0,0
3,0,0.007375233037865566,0,0,7.8792,0.0,1.0,0.0,1
3,0,0.007375233037865566,0,0,7.8792,0.0,1.0,0.0,1
3,1,0.7838716575987701,1,4,27.9,0.0,0.0,1.0,0
2,1,-0.07027440941822488,1,0,27.7208,1.0,0.0,0.0,0
3,0,1.1721198698792223,0,1,14.4542,1.0,0.0,0.0,0
3,1,0.3956234453183177,0,0,7.05,0.0,0.0,1.0,0
3,1,0.007375233037865566,1,0,15.5,0.0,1.0,0.0,0
3,1,0.007375233037865566,0,0,7.25,0.0,0.0,1.0,0
1,0,2.336864506720579,1,0,75.25,1.0,0.0,0.0,1
3,0,0.007375233037865566,0,0,7.2292,1.0,0.0,0.0,1
3,0,0.007375233037865566,0,0,7.75,0.0,1.0,0.0,1
1,0,-0.4585226216986771,0,0,69.3,1.0,0.0,0.0,1
1,1,-0.3808729792425867,1,0,55.4417,1.0,0.0,0.0,1
3,1,-0.92442047643522,1,0,6.4958,0.0,0.0,1.0,0
3,1,-0.8467708339791293,0,0,8.05,0.0,0.0,1.0,0
1,1,-0.6138219066108579,0,0,135.6333,1.0,0.0,0.0,0
3,0,-2.0891651132765765,3,1,21.075,0.0,0.0,1.0,0
1,0,0.007375233037865566,1,0,82.1708,1.0,0.0,0.0,1
3,0,-0.6138219066108579,0,0,7.25,0.0,0.0,1.0,1
1,1,-0.22557369433040575,0,2,211.5,1.0,0.0,0.0,0
3,1,-0.7691211915230389,0,0,4.0125,1.0,0.0,0.0,0
3,1,-0.8467708339791293,0,0,7.775,0.0,0.0,1.0,0
1,0,0.9391709425109508,0,0,227.525,1.0,0.0,0.0,1
3,0,-2.2444643981887573,0,2,15.7417,1.0,0.0,0.0,1
3,1,0.16267451795004645,0,0,7.925,0.0,0.0,1.0,0
1,0,0.3956234453183177,1,0,52.0,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.8958,0.0,0.0,1.0,0
2,1,-0.92442047643522,0,0,73.5,0.0,0.0,1.0,0
3,1,-2.2444643981887573,5,2,46.9,0.0,0.0,1.0,0
2,0,0.4732730877744082,0,0,13.0,0.0,0.0,1.0,1
3,1,0.007375233037865566,0,0,7.7292,0.0,1.0,0.0,0
